"filename", "language", "XML", "Java Properties", "Java", "Batch", "comment", "blank", "total"
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\service\CategoriaService.java", "Java", 0, 0, 18, 0, 0, 9, 27
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\service\DetalleFacturaService.java", "Java", 0, 0, 14, 0, 0, 6, 20
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\service\FacturaService.java", "Java", 0, 0, 18, 0, 0, 9, 27
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\service\InventarioService.java", "Java", 0, 0, 18, 0, 0, 9, 27
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\service\LibroCarritoService.java", "Java", 0, 0, 27, 0, 0, 7, 34
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\service\LibrosService.java", "Java", 0, 0, 22, 0, 0, 8, 30
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\service\MedioPagoService.java", "Java", 0, 0, 18, 0, 0, 10, 28
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\service\TipoDocumentoService.java", "Java", 0, 0, 18, 0, 0, 9, 27
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\service\TipoLibroService.java", "Java", 0, 0, 18, 0, 0, 9, 27
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\service\TipoUsuarioService.java", "Java", 0, 0, 18, 0, 0, 9, 27
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\service\UsuarioService.java", "Java", 0, 0, 17, 0, 0, 8, 25
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\java\com\libreria\service\VentasService.java", "Java", 0, 0, 14, 0, 0, 8, 22
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\src\main\resources\application.properties", "Java Properties", 0, 10, 0, 0, 1, 4, 15
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\application.properties", "Java Properties", 0, 10, 0, 0, 1, 4, 15
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\LibreriaApplication.class", "Java", 0, 0, 9, 0, 0, 0, 9
